marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr11_372292	0.30447289233667	6.427	Chr11_372302	6.459	0.032
Chr11_372292	0.967392346752801	6.427	Chr11_1795475	5.892	0.534999999999999
Chr11_372292	0.624336676525793	6.427	Chr11_2113560	7.088	0.661
Chr11_372292	0.442778044289407	6.427	Chr11_2113568	7.071	0.644
Chr11_372292	0.00799786737869547	6.427	Chr11_2536944	1.741	4.686
Chr11_372292	0.270549424497308	6.427	Chr11_6880046	0	6.427
Chr11_372292	0.277192030189186	6.427	Chr11_6880094	2.479	3.948
Chr11_372292	0.255884962384339	6.427	Chr11_8704836	15.819	9.392
Chr11_372292	0.0255640109900382	6.427	Chr11_9939370	20.33	13.903
Chr11_372292	0.175927568490984	6.427	Chr11_12260919	19.861	13.434
Chr11_372292	0.0164089956555485	6.427	Chr11_13464398	22.906	16.479
Chr11_372292	0.236668122341896	6.427	Chr11_16179464	27.528	21.101
Chr11_372292	0.15952817670816	6.427	Chr11_17021394	40.882	34.455
Chr11_372292	0.00106762284154048	6.427	Chr11_17021436	29.082	22.655
Chr11_372292	0.0488207893031436	6.427	Chr11_18278410	42.995	36.568
Chr11_372292	0.0587749093623709	6.427	Chr11_20751216	33.063	26.636
Chr11_372292	0.0327045460203558	6.427	Chr11_22100416	31.322	24.895
Chr11_372292	0.0968290603226329	6.427	Chr11_23279872	52.726	46.299
Chr11_372292	0.074827252996071	6.427	Chr11_23279880	35.785	29.358
Chr11_372292	0.181519546250877	6.427	Chr11_23279886	37.098	30.671
Chr11_372292	0.0537397426850363	6.427	Chr11_28232967	42.457	36.03
Chr11_372292	0.0882143405707042	6.427	Chr11_30984040	43.218	36.791
Chr11_372292	1.23259516440783e-32	6.427	Chr11_34005268	44.601	38.174
Chr11_372292	0.064704894365852	6.427	Chr11_34860852	47.345	40.918
Chr11_372292	0.0342171415915217	6.427	Chr11_34860853	46.818	40.391
Chr11_372292	0.044432383752009	6.427	Chr11_35011878	46.216	39.789
Chr11_372292	0.0925823681803507	6.427	Chr11_38023759	51.058	44.631
Chr11_372292	0.0601726470417769	6.427	Chr11_39025473	50.044	43.617
Chr11_372292	6.67702825006313e-05	6.427	Chr11_51587854	54.907	48.48
Chr11_372292	0.0795229909090393	6.427	Chr11_52972239	52.155	45.728
Chr11_372292	0.0968290603226329	6.427	Chr11_55114662	52.147	45.72
Chr11_372292	0.0432252077755765	6.427	Chr11_57927924	55.724	49.297
Chr11_372292	0.0457358622010371	6.427	Chr11_65102436	60.613	54.186
Chr11_372292	0.029188031431361	6.427	Chr11_65456189	59.273	52.846
Chr11_372292	0.0320252925852237	6.427	Chr11_74686748	55.721	49.294
Chr11_372292	0.0229921763199437	6.427	Chr11_78306217	54.482	48.055
Chr11_372292	0.0339447446553078	6.427	Chr11_88660129	56.16	49.733
Chr11_372292	0.040724521506618	6.427	Chr11_115993916	57.135	50.708
Chr11_372292	0.000249083043785104	6.427	Chr11_143612734	60.636	54.209
Chr11_372292	0.0105009221510026	6.427	Chr11_149000352	62.214	55.787
Chr11_372292	0.0302575191546383	6.427	Chr11_161350995	57.77	51.343
Chr11_372292	4.44480834089549e-31	6.427	Chr11_164365817	58.871	52.444
Chr11_372292	0.0259294817969993	6.427	Chr11_177624370	56.816	50.389
Chr11_372292	0.0270195690195936	6.427	Chr11_184857843	68.122	61.695
Chr11_372292	0.0353783454775292	6.427	Chr11_191375023	62.697	56.27
Chr11_372292	0.0179326875306203	6.427	Chr11_191634621	62.905	56.478
Chr11_372292	4.942334705562e-32	6.427	Chr11_191635870	62.753	56.326
Chr11_372292	0.00393041853957485	6.427	Chr11_194507333	97.398	90.971
Chr11_372292	0.0317118466453116	6.427	Chr11_196666517	65.531	59.104
Chr11_372292	0.0361906316828648	6.427	Chr11_197116915	66.984	60.557
Chr11_372292	0.00271359735424399	6.427	Chr11_201885082	68.671	62.244
Chr11_372292	6.67702825006313e-05	6.427	Chr11_203709056	67.537	61.11
Chr11_372292	0.00628012538819623	6.427	Chr11_207750698	73.026	66.599
Chr11_372292	0.000815093657869664	6.427	Chr11_208003768	72.834	66.407
Chr11_372292	0.00737252168884251	6.427	Chr11_208650186	74.613	68.186
Chr11_372292	0.00938388150016753	6.427	Chr11_210989306	72.496	66.069
Chr11_372292	0.00737252168884251	6.427	Chr11_210989314	76.601	70.174
Chr11_372292	0.00305830946615921	6.427	Chr11_211672806	78.639	72.212
Chr11_372292	0.00262580542042394	6.427	Chr11_211702566	77.812	71.385
Chr11_372292	0.00339908674617164	6.427	Chr11_212660805	76.003	69.576
Chr11_372292	0.0031866214714058	6.427	Chr11_215678698	75.467	69.04
Chr11_372292	0.0395138831636778	6.427	Chr11_219800537	85.565	79.138
Chr11_372292	0.00284285782281638	6.427	Chr11_222948685	83.893	77.466
Chr11_372292	0.00640430570080706	6.427	Chr11_223223131	87.389	80.962
Chr11_372292	0.00433716809495429	6.427	Chr11_225128996	89.842	83.415
Chr11_372292	0.00136841362498177	6.427	Chr11_225969790	91.809	85.382
Chr11_372292	0.000835036091227407	6.427	Chr11_226131804	94.595	88.168
