marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr19_32481170	0.010953914186574	96.144	Chr19_32916685	97.466	1.32199999999999
Chr19_32481170	0.586971397370616	96.144	Chr19_32916693	96.425	0.280999999999992
Chr19_32481170	0.0558559072995555	96.144	Chr19_65491949	37.502	58.642
Chr19_32481170	0.018157186757824	96.144	Chr19_76865217	21.793	74.351
Chr19_32481170	0.0980467047816043	96.144	Chr19_87212581	39.544	56.6
Chr19_32481170	0.0750136551530261	96.144	Chr19_87789568	42.372	53.772
Chr19_32481170	0.111545604703004	96.144	Chr19_92815674	45.83	50.314
Chr19_32481170	0.120607540215975	96.144	Chr19_93392479	46.949	49.195
Chr19_32481170	0.0882671487971798	96.144	Chr19_95614808	44.04	52.104
Chr19_32481170	0.131492709951052	96.144	Chr19_101373126	48.912	47.232
Chr19_32481170	0.102930308107419	96.144	Chr19_101493728	50.143	46.001
Chr19_32481170	0.406415988762692	96.144	Chr19_105271128	74.72	21.424
Chr19_32481170	0.44678688057264	96.144	Chr19_109019585	77.517	18.627
Chr19_32481170	0.122137798941403	96.144	Chr19_111034993	49.606	46.538
Chr19_32481170	0.114836542958964	96.144	Chr19_111448183	52.038	44.106
Chr19_32481170	0.122466675475913	96.144	Chr19_112011124	54.925	41.219
Chr19_32481170	0.141063316622974	96.144	Chr19_112402547	53.476	42.668
Chr19_32481170	0.129920575861678	96.144	Chr19_113060851	54.281	41.863
Chr19_32481170	0.150834354983674	96.144	Chr19_113061596	57	39.144
Chr19_32481170	0.275820336555188	96.144	Chr19_120348338	65.076	31.068
Chr19_32481170	0.447480986765342	96.144	Chr19_130480640	80.869	15.275
Chr19_32481170	0.000148762372310414	96.144	Chr19_132104581	84.032	12.112
Chr19_32481170	0.0187854073099552	96.144	Chr19_134354193	92.578	3.566
Chr19_32481170	0.243341828270526	96.144	Chr19_139668763	92.702	3.44200000000001
Chr19_32481170	0.464382613004264	96.144	Chr19_143019413	91.262	4.88200000000001
Chr19_32481170	0.473628033649912	96.144	Chr19_143019448	92.123	4.021
Chr19_32481170	0.573412481501744	96.144	Chr19_144574417	93.811	2.333
Chr19_32481170	0.446085634904324	96.144	Chr19_156511936	100.512	4.36799999999999
