marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr03_5067480	0.272060440114227	114.364	Chr03_5067506	106.565	7.79900000000001
Chr03_5067480	0.896550595367096	114.364	Chr03_5067523	107.265	7.099
Chr03_5067480	0.280728265717272	114.364	Chr03_5397181	108.638	5.726
Chr03_5067480	0.378373001810634	114.364	Chr03_7750954	103.901	10.463
Chr03_5067480	0.335292366180248	114.364	Chr03_19754376	114.432	0.0679999999999978
Chr03_5067480	0.280728265717272	114.364	Chr03_20191494	106.138	8.226
Chr03_5067480	0.374297753949571	114.364	Chr03_20367793	111.86	2.504
Chr03_5067480	0.303535400932018	114.364	Chr03_42742623	129.578	15.214
Chr03_5067480	0.00279673976724509	114.364	Chr03_43589399	102.927	11.437
Chr03_5067480	0.0568957544818275	114.364	Chr03_48001230	105.214	9.15000000000001
Chr03_5067480	0.00023582272824548	114.364	Chr03_49658012	106.868	7.49600000000001
Chr03_5067480	0.364337449572762	114.364	Chr03_59231553	128.238	13.874
Chr03_5067480	0.337001552712016	114.364	Chr03_78858449	98.666	15.698
Chr03_5067480	0.39846828352804	114.364	Chr03_83061593	76.64	37.724
Chr03_5067480	0.128735215490253	114.364	Chr03_84041899	90.668	23.696
Chr03_5067480	0.0733992555260523	114.364	Chr03_84369763	87.971	26.393
Chr03_5067480	0.0051258553970937	114.364	Chr03_89127998	59.867	54.497
Chr03_5067480	0.286106550606797	114.364	Chr03_98340722	86.03	28.334
Chr03_5067480	0.978811029365533	114.364	Chr03_104631942	96.87	17.494
Chr03_5067480	0.607281283434966	114.364	Chr03_122754247	61.854	52.51
Chr03_5067480	0.388346762957141	114.364	Chr03_131736727	71.724	42.64
Chr03_5067480	0.369361446235356	114.364	Chr03_138198686	65.481	48.883
Chr03_5067480	0.378373001810634	114.364	Chr03_144403311	80.083	34.281
Chr03_5067480	0.0542933629543043	114.364	Chr03_146139460	83.88	30.484
Chr03_5067480	0.39846828352804	114.364	Chr03_147264642	70.573	43.791
Chr03_5067480	0.0346747470562566	114.364	Chr03_148761731	69.782	44.582
Chr03_5067480	0.36854378792712	114.364	Chr03_153682605	68.363	46.001
Chr03_5067480	0.36854378792712	114.364	Chr03_157819808	66.403	47.961
Chr03_5067480	0.474769350733386	114.364	Chr03_161965840	53.667	60.697
Chr03_5067480	0.0324946822744676	114.364	Chr03_182610723	55.615	58.749
Chr03_5067480	0.378373001810634	114.364	Chr03_203252392	61.089	53.275
Chr03_5067480	0.56450534849692	114.364	Chr03_204262200	58.478	55.886
Chr03_5067480	0.388346762957141	114.364	Chr03_223573818	75.641	38.723
Chr03_5067480	0.39846828352804	114.364	Chr03_253504777	68.618	45.746
Chr03_5067480	0.358516387222101	114.364	Chr03_253901771	67.469	46.895
Chr03_5067480	0.0161176859999835	114.364	Chr03_257750499	65.92	48.444
Chr03_5067480	0.39846828352804	114.364	Chr03_260622619	77.512	36.852
Chr03_5067480	0.0527465877230567	114.364	Chr03_272215949	56.562	57.802
Chr03_5067480	0.39846828352804	114.364	Chr03_282134175	76.431	37.933
Chr03_5067480	0.388346762957141	114.364	Chr03_288115286	76.926	37.438
Chr03_5067480	0.286106550606797	114.364	Chr03_328351268	80.973	33.391
Chr03_5067480	0.592909011778821	114.364	Chr03_328577776	92.273	22.091
Chr03_5067480	0.0106468507359925	114.364	Chr03_328779163	90.004	24.36
Chr03_5067480	0.000208288575548445	114.364	Chr03_329286548	93.137	21.227
Chr03_5067480	0.280728265717272	114.364	Chr03_329898697	78.085	36.279
Chr03_5067480	0.263507420197842	114.364	Chr03_329980194	76.027	38.337
Chr03_5067480	4.32151391834619e-05	114.364	Chr03_331096261	55.229	59.135
Chr03_5067480	0.298417705861932	114.364	Chr03_332901753	63.566	50.798
Chr03_5067480	0.39846828352804	114.364	Chr03_351990389	76.277	38.087
Chr03_5067480	0.0106468507359925	114.364	Chr03_403099777	72.34	42.024
Chr03_5067480	0.0130882938928405	114.364	Chr03_407009024	71.557	42.807
Chr03_5067480	0.000111854357274123	114.364	Chr03_412668567	56.855	57.509
Chr03_5067480	0.36854378792712	114.364	Chr03_413046308	57.411	56.953
Chr03_5067480	0.0197109220703003	114.364	Chr03_415029712	50.883	63.481
Chr03_5067480	0.0416331714624541	114.364	Chr03_415944371	49.783	64.581
Chr03_5067480	0.315440508336471	114.364	Chr03_426131698	42.896	71.468
Chr03_5067480	0.189225384520322	114.364	Chr03_429845490	41.1	73.264
Chr03_5067480	0.303535400932018	114.364	Chr03_434603093	46.862	67.502
Chr03_5067480	0.312435358675395	114.364	Chr03_443514001	24.279	90.085
Chr03_5067480	0.280728265717272	114.364	Chr03_460492289	29.545	84.819
Chr03_5067480	0.311434228709175	114.364	Chr03_460492300	25.517	88.847
Chr03_5067480	0.277569521477467	114.364	Chr03_460492313	17.5	96.864
Chr03_5067480	0.000856679272997743	114.364	Chr03_460492444	23.36	91.004
Chr03_5067480	0.608920422385042	114.364	Chr03_460492494	24.485	89.879
Chr03_5067480	0.280728265717272	114.364	Chr03_469631260	22.447	91.917
Chr03_5067480	0.325879607673415	114.364	Chr03_474801192	21.07	93.294
Chr03_5067480	0.325879607673415	114.364	Chr03_476822024	32.325	82.039
Chr03_5067480	0.332736778684363	114.364	Chr03_478692208	16.515	97.849
Chr03_5067480	0.0240147118383595	114.364	Chr03_485636868	9.287	105.077
Chr03_5067480	0.384402410563726	114.364	Chr03_490542098	5.418	108.946
Chr03_5067480	5.27075643213852e-05	114.364	Chr03_498108343	0.898	113.466
Chr03_5067480	0.00271594291667357	114.364	Chr03_507391526	6.136	108.228
Chr03_5067480	0.225882902937729	114.364	Chr03_507391564	0	114.364
Chr03_5067480	0.330611328714687	114.364	Chr03_513591530	3.476	110.888
Chr03_5067506	0.244851990047	106.565	Chr03_5067523	107.265	0.700000000000003
Chr03_5067506	0.968463763336235	106.565	Chr03_5397181	108.638	2.07300000000001
Chr03_5067506	0.102970950613424	106.565	Chr03_7750954	103.901	2.664
Chr03_5067506	0.00037041441129423	106.565	Chr03_19754376	114.432	7.867
Chr03_5067506	0.968463763336235	106.565	Chr03_20191494	106.138	0.426999999999992
Chr03_5067506	0.00340105538776698	106.565	Chr03_20367793	111.86	5.295
Chr03_5067506	0.00709520613692758	106.565	Chr03_42742623	129.578	23.013
Chr03_5067506	0.169888068646632	106.565	Chr03_43589399	102.927	3.63799999999999
Chr03_5067506	0.272060440114227	106.565	Chr03_48001230	105.214	1.351
Chr03_5067506	0.577339125839227	106.565	Chr03_49658012	106.868	0.302999999999997
Chr03_5067506	0.0950776067433719	106.565	Chr03_59231553	128.238	21.673
Chr03_5067506	0.105688872323367	106.565	Chr03_78858449	98.666	7.899
Chr03_5067506	0.108447059601262	106.565	Chr03_83061593	76.64	29.925
Chr03_5067506	1.82966393345452e-05	106.565	Chr03_84041899	90.668	15.897
Chr03_5067506	0.158465582908619	106.565	Chr03_84369763	87.971	18.594
Chr03_5067506	0.0191855182006261	106.565	Chr03_89127998	59.867	46.698
Chr03_5067506	0.0190584250169356	106.565	Chr03_98340722	86.03	20.535
Chr03_5067506	0.266389628816643	106.565	Chr03_104631942	96.87	9.69499999999999
Chr03_5067506	0.169888068646632	106.565	Chr03_122754247	61.854	44.711
Chr03_5067506	0.105688872323367	106.565	Chr03_131736727	71.724	34.841
Chr03_5067506	0.114087863831423	106.565	Chr03_138198686	65.481	41.084
Chr03_5067506	0.102970950613424	106.565	Chr03_144403311	80.083	26.482
Chr03_5067506	0.140332511232319	106.565	Chr03_146139460	83.88	22.685
Chr03_5067506	0.108447059601262	106.565	Chr03_147264642	70.573	35.992
Chr03_5067506	0.115009293103053	106.565	Chr03_148761731	69.782	36.783
Chr03_5067506	0.10029241913645	106.565	Chr03_153682605	68.363	38.202
Chr03_5067506	0.100322495342173	106.565	Chr03_157819808	66.403	40.162
Chr03_5067506	0.110920093718305	106.565	Chr03_161965840	53.667	52.898
Chr03_5067506	0.0653322847977592	106.565	Chr03_182610723	55.615	50.95
Chr03_5067506	0.10296406369171	106.565	Chr03_203252392	61.089	45.476
Chr03_5067506	0.171667864168018	106.565	Chr03_204262200	58.478	48.087
Chr03_5067506	0.105688872323367	106.565	Chr03_223573818	75.641	30.924
Chr03_5067506	0.108447059601262	106.565	Chr03_253504777	68.618	37.947
Chr03_5067506	0.111246413911751	106.565	Chr03_253901771	67.469	39.096
Chr03_5067506	0.0913874546636187	106.565	Chr03_257750499	65.92	40.645
Chr03_5067506	0.108447059601262	106.565	Chr03_260622619	77.512	29.053
Chr03_5067506	0.0704306126396623	106.565	Chr03_272215949	56.562	50.003
