marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr11_372292	0.999661358844908	6.427	Chr11_372302	6.459	0.032
Chr11_372292	0.98324288462853	6.427	Chr11_1795475	5.892	0.534999999999999
Chr11_372292	0.999661358844908	6.427	Chr11_2113560	7.088	0.661
Chr11_372292	0.999661358844908	6.427	Chr11_2113568	7.071	0.644
Chr11_372292	0.249608439930981	6.427	Chr11_2536944	1.741	4.686
Chr11_372292	0.283600933475754	6.427	Chr11_6880046	0	6.427
Chr11_372292	0.261898013478278	6.427	Chr11_6880094	2.479	3.948
Chr11_372292	0.212645175806338	6.427	Chr11_8704836	15.819	9.392
Chr11_372292	0.157941153260048	6.427	Chr11_9939370	20.33	13.903
Chr11_372292	0.12648389646162	6.427	Chr11_12260919	19.861	13.434
Chr11_372292	0.268372944706846	6.427	Chr11_13464398	22.906	16.479
Chr11_372292	0.186559669524428	6.427	Chr11_16179464	27.528	21.101
Chr11_372292	0.0164632503247047	6.427	Chr11_17021436	29.082	22.655
Chr11_372292	0.0528323575011882	6.427	Chr11_18278410	42.995	36.568
Chr11_372292	0.00838686270479046	6.427	Chr11_18278414	45.675	39.248
Chr11_372292	0.106559254015771	6.427	Chr11_20751216	33.063	26.636
Chr11_372292	0.172741507895956	6.427	Chr11_22100416	31.322	24.895
Chr11_372292	0.0986444023764723	6.427	Chr11_23279880	35.785	29.358
Chr11_372292	0.113521213590273	6.427	Chr11_23279886	37.098	30.671
Chr11_372292	0.0109613213862201	6.427	Chr11_28232967	42.457	36.03
Chr11_372292	0.00865004221329369	6.427	Chr11_30406190	39.893	33.466
Chr11_372292	0.0688443531793065	6.427	Chr11_34860852	47.345	40.918
Chr11_372292	0.0688443531793065	6.427	Chr11_34860853	46.818	40.391
Chr11_372292	0.00984186381276056	6.427	Chr11_35011878	46.216	39.789
Chr11_372292	8.86329895451803e-05	6.427	Chr11_35125295	42.262	35.835
Chr11_372292	0.000389012661059165	6.427	Chr11_39025473	50.044	43.617
Chr11_372292	0.000276618565513573	6.427	Chr11_50314840	55.51	49.083
Chr11_372292	4.93881384841134e-32	6.427	Chr11_51587854	54.907	48.48
Chr11_372292	8.86329895451803e-05	6.427	Chr11_57927924	55.724	49.297
Chr11_372292	0.00520848686467409	6.427	Chr11_65102436	60.613	54.186
Chr11_372292	0.00287083571951315	6.427	Chr11_65456189	59.273	52.846
Chr11_372292	0.00278158276869605	6.427	Chr11_74686748	55.721	49.294
Chr11_372292	0.00579318139141433	6.427	Chr11_78306217	54.482	48.055
Chr11_372292	0.00718310434312724	6.427	Chr11_88660129	56.16	49.733
Chr11_372292	4.93881384841134e-32	6.427	Chr11_115993916	57.135	50.708
Chr11_372292	0.000212062896210354	6.427	Chr11_143612734	60.636	54.209
Chr11_372292	5.1540027126104e-06	6.427	Chr11_149000352	62.214	55.787
Chr11_372292	0.00726186052995922	6.427	Chr11_161350995	57.77	51.343
Chr11_372292	0.00436748067014004	6.427	Chr11_161625975	59.53	53.103
Chr11_372292	0.000158081106024881	6.427	Chr11_164365817	58.871	52.444
Chr11_372292	0.00718310434312724	6.427	Chr11_177624370	56.816	50.389
Chr11_372292	0.00116459144215353	6.427	Chr11_184857843	68.122	61.695
Chr11_372292	1.4649299891532e-05	6.427	Chr11_191375023	62.697	56.27
Chr11_372292	0.00946020256832314	6.427	Chr11_191634621	62.905	56.478
Chr11_372292	0.0108812170575841	6.427	Chr11_191635870	62.753	56.326
Chr11_372292	0.00431124344807588	6.427	Chr11_194507333	97.398	90.971
Chr11_372292	0.0108812170575841	6.427	Chr11_195723498	67.291	60.864
Chr11_372292	0.00821487139963387	6.427	Chr11_196666517	65.531	59.104
Chr11_372292	4.93881384841134e-32	6.427	Chr11_197116915	66.984	60.557
Chr11_372292	0.00946020256832314	6.427	Chr11_201885082	68.671	62.244
Chr11_372292	4.93881384841134e-32	6.427	Chr11_203382506	69.637	63.21
Chr11_372292	1.4649299891532e-05	6.427	Chr11_203709056	67.537	61.11
Chr11_372292	0.000312401903801014	6.427	Chr11_208003768	72.834	66.407
Chr11_372292	4.93881384841134e-32	6.427	Chr11_210989314	76.601	70.174
Chr11_372292	0.00277767578281635	6.427	Chr11_211672806	78.639	72.212
Chr11_372292	0.00431124344807588	6.427	Chr11_211672849	78.534	72.107
