marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr13_1794515	0.828693220702879	154.154	Chr13_1794553	159.73	5.57599999999999
Chr13_1794515	0.756637989294527	154.154	Chr13_2610378	164.331	10.177
Chr13_1794515	0.139519944301602	154.154	Chr13_5650234	153.179	0.974999999999994
Chr13_1794515	0.102952623767235	154.154	Chr13_5974193	154.65	0.496000000000009
Chr13_1794515	0.102952623767235	154.154	Chr13_5976917	153.596	0.557999999999993
Chr13_1794515	0.224578381132786	154.154	Chr13_7532019	150.711	3.44299999999998
Chr13_1794515	0.625847045921579	154.154	Chr13_8160801	153.151	1.00299999999999
Chr13_1794515	0.601188443017061	154.154	Chr13_8692750	149.264	4.88999999999999
Chr13_1794515	0.577810806532354	154.154	Chr13_8905731	150.249	3.905
Chr13_1794515	0.00346994286204246	154.154	Chr13_8957396	153.573	0.580999999999989
Chr13_1794515	0.136657792385434	154.154	Chr13_9190113	152.066	2.08799999999999
Chr13_1794515	0.232668539007766	154.154	Chr13_9887200	156.783	2.62899999999999
Chr13_1794515	0.133860537070675	154.154	Chr13_11881272	157.671	3.517
Chr13_1794515	0.830851448742705	154.154	Chr13_11975032	158.501	4.34700000000001
Chr13_1794515	0.00913415288432095	154.154	Chr13_15165130	159.393	5.239
Chr13_1794515	0.236886943431448	154.154	Chr13_15323046	156.011	1.857
Chr13_1794515	0.784098192379911	154.154	Chr13_15924311	162.524	8.37
Chr13_1794515	0.809144180316933	154.154	Chr13_18822608	160.564	6.41
Chr13_1794515	0.828764424737521	154.154	Chr13_19296238	161.311	7.15700000000001
Chr13_1794515	0.0157969173239667	154.154	Chr13_19529874	163.847	9.69300000000001
Chr13_1794515	0.856060790775987	154.154	Chr13_21582688	157.381	3.227
Chr13_1794515	0.107793621660492	154.154	Chr13_25747545	144.441	9.71299999999999
Chr13_1794515	0.169919776253788	154.154	Chr13_25862672	145.424	8.72999999999999
Chr13_1794515	0.102952623767235	154.154	Chr13_25862687	145.857	8.297
Chr13_1794515	0.00489828710943332	154.154	Chr13_29312865	150.347	3.80699999999999
Chr13_1794515	0.00139788827377834	154.154	Chr13_29881979	151.652	2.50200000000001
Chr13_1794515	0.00413542008454319	154.154	Chr13_30179455	150.739	3.41499999999999
Chr13_1794515	0.00139788827377834	154.154	Chr13_30338183	148.161	5.99299999999999
Chr13_1794515	0.293280351374685	154.154	Chr13_30745073	148.889	5.26499999999999
Chr13_1794515	0.13948015839561	154.154	Chr13_31204712	148.71	5.44399999999999
Chr13_1794515	0.13948015839561	154.154	Chr13_32199137	147.952	6.202
Chr13_1794515	0.00050306737248029	154.154	Chr13_34031251	149.499	4.655
Chr13_1794515	0.168040455458018	154.154	Chr13_34942763	142.957	11.197
Chr13_1794515	0.110903633568154	154.154	Chr13_36072174	143.125	11.029
Chr13_1794515	0.160976705182379	154.154	Chr13_36490402	142.503	11.651
