marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr03_5067506	0.280123540765825	106.565	Chr03_5067523	107.265	0.700000000000003
Chr03_5067506	0.904782722389994	106.565	Chr03_5397181	108.638	2.07300000000001
Chr03_5067506	0.262186046360342	106.565	Chr03_7750954	103.901	2.664
Chr03_5067506	0.0143666564252661	106.565	Chr03_16716481	99.954	6.611
Chr03_5067506	0.951948487734622	106.565	Chr03_20191494	106.138	0.426999999999992
Chr03_5067506	0.271008960252591	106.565	Chr03_43589399	102.927	3.63799999999999
Chr03_5067506	0.456817661044729	106.565	Chr03_48001230	105.214	1.351
Chr03_5067506	0.324393906119075	106.565	Chr03_49658012	106.868	0.302999999999997
Chr03_5067506	0.236656352253276	106.565	Chr03_78858449	98.666	7.899
Chr03_5067506	0.107154863793315	106.565	Chr03_83061593	76.64	29.925
Chr03_5067506	0.0138178130684311	106.565	Chr03_84041899	90.668	15.897
Chr03_5067506	0.212966514923757	106.565	Chr03_84369763	87.971	18.594
Chr03_5067506	0.0143666564252661	106.565	Chr03_89127998	59.867	46.698
Chr03_5067506	0.00104523240495691	106.565	Chr03_89239386	61.431	45.134
Chr03_5067506	0.434149040738869	106.565	Chr03_104631942	96.87	9.69499999999999
Chr03_5067506	0.184139519867522	106.565	Chr03_122754247	61.854	44.711
Chr03_5067506	0.111696090474351	106.565	Chr03_131736727	71.724	34.841
Chr03_5067506	0.100614031364815	106.565	Chr03_138198686	65.481	41.084
Chr03_5067506	0.102775453209066	106.565	Chr03_144403311	80.083	26.482
Chr03_5067506	0.218101340904705	106.565	Chr03_146139460	83.88	22.685
Chr03_5067506	0.111696090474351	106.565	Chr03_147264642	70.573	35.992
Chr03_5067506	0.129814063718209	106.565	Chr03_148761731	69.782	36.783
Chr03_5067506	0.100660991803871	106.565	Chr03_153682605	68.363	38.202
Chr03_5067506	0.0984622888230926	106.565	Chr03_157819808	66.403	40.162
Chr03_5067506	0.0262028026084978	106.565	Chr03_161965840	53.667	52.898
Chr03_5067506	0.0710637610643359	106.565	Chr03_182610723	55.615	50.95
Chr03_5067506	0.0984622888230926	106.565	Chr03_203252392	61.089	45.476
Chr03_5067506	0.189164477753638	106.565	Chr03_204262200	58.478	48.087
Chr03_5067506	0.109382322693252	106.565	Chr03_223573818	75.641	30.924
Chr03_5067506	0.104999030162133	106.565	Chr03_253504777	68.618	37.947
Chr03_5067506	0.111628676473105	106.565	Chr03_253901771	67.469	39.096
Chr03_5067506	0.0761177661841789	106.565	Chr03_257750499	65.92	40.645
Chr03_5067506	0.0964258878635395	106.565	Chr03_260622619	77.512	29.053
Chr03_5067506	0.0339503217479581	106.565	Chr03_272215949	56.562	50.003
Chr03_5067506	0.107154863793315	106.565	Chr03_282134175	76.431	30.134
Chr03_5067506	0.0943069802891047	106.565	Chr03_288115286	76.926	29.639
Chr03_5067506	0.407733858123757	106.565	Chr03_328577776	92.273	14.292
Chr03_5067506	0.22864008021219	106.565	Chr03_328779163	90.004	16.561
Chr03_5067506	0.141084783538356	106.565	Chr03_329286548	93.137	13.428
Chr03_5067506	0.00532404320515254	106.565	Chr03_329898697	78.085	28.48
Chr03_5067506	0.0111865983976772	106.565	Chr03_329980194	76.027	30.538
Chr03_5067506	0.0145185647761758	106.565	Chr03_331096261	55.229	51.336
Chr03_5067506	0.00963063032189438	106.565	Chr03_332901753	63.566	42.999
Chr03_5067506	0.00104523240495691	106.565	Chr03_347078225	54.275	52.29
Chr03_5067506	0.102775453209066	106.565	Chr03_351990389	76.277	30.288
